elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000844, 10.000844, 5929, 1557, 12152.9, 9134, 19558, 55531, 482700, 714565, 0
20.001679, 10.000835, 6867, 1436, 10887.2, 9787, 20344, 26991, 108913, 119454, 0
30.009682, 10.008003, 7112, 1338, 10473.1, 9890, 19446, 24619, 30016, 36025, 0
40.006216, 9.996534, 5300, 1359, 15938.1, 10247, 21356, 230587, 661884, 1039395, 0
50.008661, 10.002445, 6833, 1739, 11082.3, 10325, 20262, 26365, 85726, 132623, 0
60.001587, 9.992926, 6659, 1589, 10977.7, 10488, 20146, 24060, 31026, 57010, 0
70.002001, 10.000414, 5908, 1643, 13017.7, 10178, 21236, 62629, 436881, 512742, 0
80.001667, 9.999666, 6290, 2025, 12707.6, 10725, 21903, 36735, 395044, 431085, 0
90.001827, 10.00016, 6420, 1515, 11759.9, 11248, 21061, 26170, 64461, 116833, 0
100.001989, 10.000162, 6406, 1920, 12246.6, 10691, 21350, 28203, 336120, 393585, 0
110.001739, 9.99975, 5716, 1855, 13977.8, 10701, 21647, 113045, 377164, 508792, 0
120.002067, 10.000328, 6544, 1411, 11451.5, 10800, 21139, 26368, 61075, 113748, 0
130.000591, 9.998524, 6316, 1884, 12085.7, 10696, 20817, 26511, 384856, 423839, 0
140.001629, 10.001038, 4266, 1899, 22841.7, 10992, 23117, 150279, 2628022, 2805461, 0
150.001679, 10.00005, 6482, 1489, 11722.4, 11001, 21353, 28422, 81375, 120470, 0
160.001655, 9.999976, 6614, 1709, 11678.5, 10811, 21062, 27132, 124319, 251146, 0
170.001727, 10.000072, 5800, 1818, 13955.4, 10896, 21294, 85081, 684720, 763077, 0
180.001809, 10.000082, 6238, 1823, 12469.6, 10549, 20585, 53109, 365788, 543664, 0
190.001587, 9.999778, 6724, 1913, 11276.2, 10695, 20529, 25028, 32572, 58227, 0
200.001735, 10.000148, 6120, 1813, 12643.5, 10541, 21005, 29742, 374376, 450694, 0
210.001663, 9.999928, 6078, 1878, 12739.1, 10762, 21392, 36994, 337025, 530125, 0
220.002026, 10.000363, 6781, 1923, 11335.7, 10624, 20317, 25343, 93029, 204799, 0
