elapsed, window, total, successful, failed
10.000844, 10.000844, 18189, 18189, 0
20.001679, 10.000835, 20439, 20439, 0
30.009682, 10.008003, 21467, 21467, 0
40.006216, 9.996534, 15751, 15751, 0
50.008661, 10.002445, 20467, 20467, 0
60.001587, 9.992926, 20026, 20026, 0
70.002001, 10.000414, 17524, 17524, 0
80.001667, 9.999666, 18707, 18707, 0
90.001827, 10.00016, 19124, 19124, 0
100.001989, 10.000162, 18839, 18839, 0
110.001739, 9.99975, 17341, 17341, 0
120.002067, 10.000328, 19578, 19578, 0
130.000591, 9.998524, 18952, 18952, 0
140.001629, 10.001038, 12436, 12436, 0
150.001679, 10.00005, 19424, 19424, 0
160.001655, 9.999976, 19545, 19545, 0
170.001727, 10.000072, 17214, 17214, 0
180.001809, 10.000082, 18801, 18801, 0
190.001587, 9.999778, 20139, 20139, 0
200.001735, 10.000148, 18366, 18366, 0
210.001663, 9.999928, 18240, 18240, 0
220.002026, 10.000363, 20073, 20073, 0
230.001684, 9.999658, 19036, 19036, 0
240.001819, 10.000135, 18566, 18566, 0
250.001796, 9.999977, 18798, 18798, 0
260.001986, 10.00019, 19387, 19387, 0
270.002185, 10.000199, 19300, 19300, 0
280.00209, 9.999905, 18856, 18856, 0
290.000967, 9.998877, 19145, 19145, 0
300.009688, 10.008721, 18975, 18975, 0
310.001961, 9.992273, 18910, 18910, 0
320.009981, 10.00802, 19670, 19670, 0
330.001648, 9.991667, 18879, 18879, 0
340.001656, 10.000008, 18581, 18581, 0
350.002128, 10.000472, 18934, 18934, 0
360.000827, 9.998699, 18900, 18900, 0
370.001942, 10.001115, 19119, 19119, 0
380.001766, 9.999824, 19231, 19231, 0
390.001604, 9.999838, 19878, 19878, 0
400.001598, 9.999994, 19798, 19798, 0
410.001852, 10.000254, 19704, 19704, 0
420.00184, 9.999988, 19623, 19623, 0
430.00174, 9.9999, 19490, 19490, 0
440.001795, 10.000055, 19136, 19136, 0
450.001634, 9.999839, 19574, 19574, 0
460.001726, 10.000092, 19705, 19705, 0
470.001846, 10.00012, 19181, 19181, 0
480.0024, 10.000554, 18739, 18739, 0
490.000708, 9.998308, 19489, 19489, 0
500.010642, 10.009934, 19826, 19826, 0
510.002663, 9.992021, 18512, 18512, 0
520.000712, 9.998049, 19626, 19626, 0
530.001658, 10.000946, 19793, 19793, 0
540.001707, 10.000049, 19691, 19691, 0
550.001861, 10.000154, 19238, 19238, 0
560.009856, 10.007995, 19180, 19180, 0
570.001742, 9.991886, 18837, 18837, 0
580.001746, 10.000004, 18663, 18663, 0
590.001842, 10.000096, 19111, 19111, 0
600.010041, 10.008199, 19509, 19509, 0
601.037491, 1.02745, 2072, 2072, 0
