elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000844, 10.000844, 6058, 4707, 26489.6, 21605, 37047, 136390, 776230, 1062248, 0
20.001679, 10.000835, 6745, 4716, 22614.9, 21873, 36577, 43961, 86730, 127666, 0
30.009682, 10.008003, 7195, 5261, 21380.0, 20862, 34218, 40556, 48908, 54110, 0
40.006216, 9.996534, 5224, 3833, 27275.7, 21301, 37480, 242954, 845767, 1181767, 0
50.008661, 10.002445, 6847, 4447, 22170.5, 21450, 35571, 43484, 87108, 131767, 0
60.001587, 9.992926, 6859, 4477, 22506.9, 22001, 35538, 43322, 54140, 64716, 0
70.002001, 10.000414, 5787, 3961, 25796.1, 21759, 38339, 174259, 458830, 535821, 0
80.001667, 9.999666, 6153, 4676, 23693.7, 22003, 37114, 51561, 367692, 424419, 0
90.001827, 10.00016, 6281, 4268, 23849.9, 23102, 37587, 43944, 79786, 130300, 0
100.001989, 10.000162, 6204, 5293, 23672.0, 22589, 37622, 44585, 203700, 396198, 0
110.001739, 9.99975, 5796, 4019, 25188.8, 21993, 36840, 107014, 478598, 581783, 0
120.002067, 10.000328, 6540, 4476, 23141.1, 22330, 36787, 44124, 91384, 129537, 0
130.000591, 9.998524, 6366, 5337, 23519.6, 22179, 36513, 44690, 340198, 443628, 0
140.001629, 10.001038, 4169, 4510, 30539.9, 22444, 40185, 159728, 2592444, 2664226, 0
150.001679, 10.00005, 6500, 4101, 23103.1, 22398, 36611, 45354, 83041, 153402, 0
160.001655, 9.999976, 6491, 4656, 23086.2, 22132, 36428, 43660, 197570, 273415, 0
170.001727, 10.000072, 5697, 4446, 25327.4, 22385, 38014, 68042, 648619, 799740, 0
180.001809, 10.000082, 6215, 4403, 23489.5, 21347, 35939, 95666, 276276, 593095, 0
190.001587, 9.999778, 6676, 3854, 22549.5, 21890, 35552, 42504, 52538, 111518, 0
200.001735, 10.000148, 6186, 4626, 23872.8, 21698, 36306, 55257, 434215, 482618, 0
210.001663, 9.999928, 6156, 3969, 24055.2, 21785, 36947, 66830, 453296, 542976, 0
220.002026, 10.000363, 6644, 5162, 22539.8, 21986, 35943, 42046, 56370, 207400, 0
230.001684, 9.999658, 6357, 4508, 23565.8, 22504, 36661, 46155, 202674, 291131, 0
240.001819, 10.000135, 6163, 4346, 24336.0, 22116, 36997, 79172, 478431, 528688, 0
250.001796, 9.999977, 6355, 4335, 24043.3, 22867, 37656, 50143, 207748, 277358, 0
260.001986, 10.00019, 6569, 4213, 23187.2, 22346, 36385, 44676, 84459, 127343, 0
270.002185, 10.000199, 6387, 4155, 23322.6, 21933, 36528, 52685, 193409, 315724, 0
280.00209, 9.999905, 6241, 4410, 23840.1, 22238, 37462, 65103, 245099, 348027, 0
290.000967, 9.998877, 6316, 4041, 23537.9, 22609, 37112, 47493, 113532, 178279, 0
300.009688, 10.008721, 6447, 5558, 23416.4, 22381, 36841, 46751, 153599, 215011, 0
310.001961, 9.992273, 6355, 5369, 23754.7, 22325, 36895, 73243, 184842, 237133, 0
320.009981, 10.00802, 6557, 4985, 22856.4, 21960, 36094, 46325, 102973, 167316, 0
330.001648, 9.991667, 6240, 4670, 23862.7, 22847, 37726, 51352, 128700, 155026, 0
340.001656, 10.000008, 6177, 5060, 24080.7, 22832, 38129, 57348, 188398, 265273, 0
350.002128, 10.000472, 6324, 4714, 23685.1, 22281, 37065, 66690, 127858, 234453, 0
360.000827, 9.998699, 6351, 5165, 23743.0, 22724, 37698, 51942, 129785, 155180, 0
370.001942, 10.001115, 6446, 4722, 23381.1, 22378, 37055, 45974, 147547, 192737, 0
380.001766, 9.999824, 6427, 5137, 23150.1, 21771, 36366, 65960, 154728, 200541, 0
390.001604, 9.999838, 6684, 4439, 22493.2, 21597, 35641, 47748, 126045, 164962, 0
400.001598, 9.999994, 6612, 4573, 22778.4, 21646, 35700, 46346, 222340, 268454, 0
410.001852, 10.000254, 6535, 4115, 22826.0, 21206, 36201, 64281, 182922, 240176, 0
420.00184, 9.999988, 6691, 4526, 22601.1, 21726, 36003, 44783, 102835, 193613, 0
430.00174, 9.9999, 6487, 4509, 23105.4, 22016, 36419, 48456, 180259, 302547, 0
440.001795, 10.000055, 6403, 4394, 23045.1, 21536, 35472, 45329, 320803, 395755, 0
450.001634, 9.999839, 6536, 5242, 22910.3, 21648, 35742, 48003, 179895, 263817, 0
460.001726, 10.000092, 6567, 5146, 22729.0, 21649, 35888, 45687, 156694, 182977, 0
470.001846, 10.00012, 6397, 4915, 23383.5, 22446, 36519, 45392, 214742, 250495, 0
480.0024, 10.000554, 6211, 4763, 23865.6, 21622, 36360, 56405, 355620, 804382, 0
490.000708, 9.998308, 6612, 3679, 23031.0, 22015, 36454, 47061, 117813, 172048, 0
500.010642, 10.009934, 6637, 3738, 22751.7, 21853, 36137, 45878, 101883, 154062, 0
510.002663, 9.992021, 6295, 4471, 23776.9, 22004, 36728, 64405, 291427, 343889, 0
520.000712, 9.998049, 6443, 5031, 22775.8, 21853, 35767, 45717, 119529, 203831, 0
530.001658, 10.000946, 6635, 4733, 22806.5, 21950, 36006, 45909, 110405, 166673, 0
540.001707, 10.000049, 6471, 4350, 23105.0, 22326, 36150, 45447, 117394, 168177, 0
550.001861, 10.000154, 6398, 4752, 23079.1, 21534, 36077, 47809, 249670, 394781, 0
560.009856, 10.007995, 6478, 5164, 23495.0, 22686, 37416, 46002, 100015, 163797, 0
570.001742, 9.991886, 6205, 4495, 24049.7, 22304, 37182, 51481, 287695, 352810, 0
580.001746, 10.000004, 6111, 4532, 24053.5, 23025, 37898, 52625, 141162, 206002, 0
590.001842, 10.000096, 6346, 4342, 23676.0, 22626, 36756, 46705, 188956, 283165, 0
600.010041, 10.008199, 6525, 5628, 22988.2, 21881, 36190, 46953, 161307, 250472, 0
601.037491, 1.02745, 699, 5245, 22921.1, 21835, 36228, 46917, 161307, 250472, 0
