elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000828, 10.000828, 4143, 1451, 13063.0, 9143, 28983, 83181, 265882, 741412, 0
20.001468, 10.00064, 4465, 1475, 12371.0, 10065, 27968, 47218, 78616, 116955, 0
30.001588, 10.00012, 4195, 1608, 13215.4, 10850, 29841, 52222, 88655, 122323, 0
40.001481, 9.999893, 2193, 1606, 29293.1, 12112, 32115, 667343, 1348766, 2788251, 0
50.001525, 10.000044, 4203, 1421, 13688.6, 11562, 29371, 54818, 99373, 130645, 0
60.001462, 9.999937, 4094, 1791, 14119.2, 11979, 29325, 49756, 80478, 134141, 0
70.001613, 10.000151, 2561, 1547, 24041.6, 11046, 40950, 429191, 1303937, 1526944, 0
80.001636, 10.000023, 4012, 1879, 17269.8, 12627, 30434, 67082, 872762, 1916387, 0
90.001555, 9.999919, 4477, 1731, 13169.9, 11897, 25238, 35915, 59657, 67150, 0
100.001521, 9.999966, 2893, 1665, 21673.9, 12128, 32343, 341104, 1142050, 1275040, 0
110.001752, 10.000231, 3698, 1828, 20660.2, 12078, 28652, 171198, 1438831, 1599639, 0
120.001601, 9.999849, 4416, 1596, 13971.9, 12127, 27352, 50790, 109874, 139694, 0
130.001677, 10.000076, 3186, 1839, 20328.7, 12384, 30866, 312226, 814400, 885933, 0
140.00149, 9.999813, 3021, 2056, 23789.6, 11629, 30997, 559937, 1291277, 1775335, 0
150.001544, 10.000054, 4136, 2157, 14520.5, 12729, 28706, 45137, 73780, 84346, 0
160.001569, 10.000025, 3576, 2256, 17525.6, 12529, 35055, 101366, 502909, 752576, 0
170.001492, 9.999923, 3223, 1997, 21789.4, 12058, 32223, 186139, 1306650, 1531544, 0
180.008636, 10.007144, 4141, 1656, 14229.3, 12445, 27592, 46951, 97110, 117991, 0
190.001523, 9.992887, 4079, 2207, 14946.3, 12203, 29233, 56821, 235985, 309345, 0
200.008472, 10.006949, 3339, 2245, 19625.8, 11661, 28083, 244189, 885039, 1018738, 0
210.001535, 9.993063, 3813, 1921, 16509.3, 12055, 34074, 64002, 649078, 776593, 0
220.001813, 10.000278, 3734, 1973, 16035.1, 12547, 38106, 79332, 181936, 448742, 0
230.001556, 9.999743, 3202, 2041, 19714.0, 12369, 34258, 253911, 623415, 779065, 0
240.001453, 9.999897, 4003, 1794, 15802.3, 12613, 30744, 62406, 485698, 657540, 0
250.001715, 10.000262, 3877, 2346, 15374.6, 11987, 29653, 59215, 477822, 887841, 0
260.001526, 9.999811, 3509, 1874, 17996.2, 11579, 31512, 180884, 644365, 909755, 0
270.001702, 10.000176, 4085, 2009, 14650.6, 12006, 29298, 55863, 225165, 454319, 0
280.001749, 10.000047, 4133, 1728, 15129.3, 12415, 30702, 66495, 195255, 305221, 0
290.008522, 10.006773, 3318, 1994, 18864.0, 11819, 32903, 251403, 569221, 697720, 0
300.001459, 9.992937, 3946, 2169, 14657.0, 11602, 26920, 57811, 452269, 912170, 0
310.001458, 9.999999, 4137, 1939, 14815.1, 11831, 30210, 69685, 250718, 271716, 0
320.001459, 10.000001, 3356, 1923, 19723.5, 11428, 32279, 169917, 927325, 1824633, 0
330.001519, 10.00006, 3918, 2151, 17403.0, 11254, 29768, 78080, 1059316, 1410564, 0
340.001608, 10.000089, 4170, 2126, 14821.2, 11959, 29777, 70529, 206590, 289834, 0
350.001493, 9.999885, 3776, 2055, 16596.2, 11945, 29106, 107795, 612593, 856706, 0
360.001464, 9.999971, 3462, 2256, 18788.6, 11117, 32321, 104753, 894317, 1207808, 0
370.001565, 10.000101, 4238, 1976, 14346.0, 11950, 30117, 54077, 168118, 232976, 0
380.001465, 9.9999, 3708, 2026, 15394.6, 12097, 30033, 70894, 334058, 428022, 0
390.001615, 10.00015, 3700, 2103, 20209.2, 11627, 31615, 258241, 1050790, 1190801, 0
400.001473, 9.999858, 4233, 2278, 14442.2, 12078, 31213, 55741, 92859, 134994, 0
410.001494, 10.000021, 3846, 1946, 15913.4, 11912, 29678, 96342, 347092, 797737, 0
420.001504, 10.00001, 3807, 2058, 18465.3, 11237, 31695, 194531, 740943, 1475068, 0
430.001518, 10.000014, 4149, 2045, 14316.0, 12204, 30468, 52891, 126776, 190160, 0
