elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000828, 10.000828, 3997, 1513, 22132.5, 14659, 56365, 157100, 455960, 721456, 0
20.001468, 10.00064, 4346, 3662, 21342.0, 16557, 53879, 75534, 96737, 123636, 0
30.001588, 10.00012, 4200, 1971, 22120.8, 16805, 59437, 87477, 110274, 156232, 0
40.001481, 9.999893, 2196, 2438, 39247.2, 17408, 48091, 692685, 1697117, 2392112, 0
50.001525, 10.000044, 4125, 4278, 21315.1, 16878, 52276, 90036, 118614, 173486, 0
60.001462, 9.999937, 4232, 3105, 21846.6, 18058, 49607, 77177, 117054, 162850, 0
70.001613, 10.000151, 2465, 2092, 33594.0, 16467, 67214, 661039, 1173805, 1593177, 0
80.001636, 10.000023, 4029, 3116, 25117.2, 18407, 45923, 92354, 1110707, 1552087, 0
90.001555, 9.999919, 4533, 3031, 19755.8, 17696, 38796, 57348, 75664, 84430, 0
100.001521, 9.999966, 3011, 1771, 28199.4, 17275, 46335, 443355, 879324, 1023789, 0
110.001752, 10.000231, 3773, 2365, 23210.4, 16741, 39918, 139846, 879324, 1633439, 0
120.001601, 9.999849, 4408, 2569, 20769.0, 18368, 41222, 65416, 117750, 163966, 0
130.001677, 10.000076, 3314, 1932, 25364.7, 17878, 45501, 153272, 798893, 937086, 0
140.00149, 9.999813, 2998, 2572, 30735.1, 17531, 53503, 478747, 1083840, 1346553, 0
150.001544, 10.000054, 4259, 3598, 21820.6, 18941, 45974, 64686, 90126, 100411, 0
160.001569, 10.000025, 3652, 2708, 24742.6, 18005, 54896, 132126, 568348, 636591, 0
170.001492, 9.999923, 3135, 2456, 29789.0, 17224, 49258, 300743, 1338061, 1552002, 0
180.008636, 10.007144, 4159, 2341, 21255.3, 19054, 41834, 61187, 101837, 229392, 0
190.001523, 9.992887, 3948, 2446, 21891.7, 18294, 42637, 85566, 299905, 346374, 0
200.008472, 10.006949, 3530, 1886, 26703.8, 16455, 44791, 313699, 962597, 1177145, 0
210.001535, 9.993063, 3737, 3513, 23833.9, 17915, 57268, 94709, 369342, 711389, 0
220.001813, 10.000278, 3775, 2296, 23782.5, 18035, 59683, 101988, 282622, 429273, 0
230.001556, 9.999743, 3235, 1608, 26090.2, 17110, 55801, 239586, 620089, 761951, 0
240.001453, 9.999897, 4042, 2294, 22760.8, 18186, 45511, 82284, 619527, 693190, 0
250.001715, 10.000262, 3983, 2182, 24011.6, 17657, 46202, 92982, 1039366, 1067981, 0
260.001526, 9.999811, 3737, 2181, 24680.1, 16584, 47115, 239307, 715421, 918323, 0
270.001702, 10.000176, 4206, 1998, 21788.9, 18114, 45006, 80186, 218654, 289384, 0
280.001749, 10.000047, 4098, 2134, 22188.6, 18005, 49491, 100383, 179528, 272362, 0
290.008522, 10.006773, 3306, 2444, 27462.5, 16475, 53068, 387563, 681627, 796576, 0
300.001459, 9.992937, 4132, 2379, 22482.3, 17455, 44888, 96619, 682608, 932821, 0
310.001458, 9.999999, 4046, 2955, 21512.6, 17455, 45398, 86552, 265705, 284520, 0
320.001459, 10.000001, 3453, 2338, 27473.1, 17313, 49440, 282142, 1050275, 1800628, 0
330.001519, 10.00006, 3742, 2422, 22970.7, 17426, 49349, 93792, 1014978, 1404915, 0
340.001608, 10.000089, 4288, 3616, 20911.8, 17821, 41692, 81989, 169304, 212987, 0
350.001493, 9.999885, 3835, 2667, 23868.2, 17919, 48666, 142245, 620072, 924019, 0
360.001464, 9.999971, 3472, 2186, 27743.0, 17036, 51979, 272417, 933904, 1142747, 0
370.001565, 10.000101, 4173, 3594, 21272.4, 18266, 44036, 70851, 129791, 282792, 0
380.001465, 9.9999, 3834, 2702, 21812.0, 17690, 45396, 87150, 300936, 357190, 0
390.001615, 10.00015, 3691, 2058, 25607.4, 17157, 54230, 137492, 879366, 1016076, 0
400.001473, 9.999858, 4237, 2919, 20882.3, 17643, 46455, 72826, 111894, 168376, 0
410.001494, 10.000021, 3864, 2377, 22273.7, 16752, 43267, 159643, 367368, 815123, 0
420.001504, 10.00001, 3738, 2377, 25098.9, 16713, 47461, 211967, 828523, 1465815, 0
430.001518, 10.000014, 4237, 3815, 21554.7, 18309, 46082, 69497, 147556, 209400, 0
440.001463, 9.999945, 4197, 2793, 20951.0, 17386, 43745, 89730, 224857, 381459, 0
450.001458, 9.999995, 3317, 2239, 28313.5, 17086, 50646, 458088, 791888, 895245, 0
460.001458, 10.0, 4491, 3780, 20087.5, 17171, 40877, 80800, 158961, 246016, 0
470.001879, 10.000421, 4087, 2145, 20834.5, 17027, 41813, 91214, 286664, 421070, 0
480.001458, 9.999579, 3631, 1943, 23925.7, 17529, 47350, 162691, 553207, 766927, 0
490.001855, 10.000397, 4194, 2211, 21469.1, 17292, 50003, 91986, 201775, 270438, 0
500.001493, 9.999638, 3655, 2869, 25149.6, 17883, 53272, 156641, 687481, 947406, 0
510.001586, 10.000093, 3911, 2218, 23283.4, 16524, 48563, 172081, 566584, 877982, 0
520.001487, 9.999901, 4258, 1991, 21550.4, 17378, 46295, 80531, 312908, 400722, 0
530.001481, 9.999994, 4333, 2983, 21226.9, 17122, 45275, 90641, 267487, 433700, 0
540.001459, 9.999978, 3873, 1875, 22990.7, 16652, 44150, 172470, 515955, 610405, 0
550.001632, 10.000173, 3481, 2170, 23443.4, 17607, 53473, 91056, 738840, 775788, 0
560.001511, 9.999879, 3716, 2335, 27228.5, 17460, 52837, 111271, 1941408, 1972755, 0
