elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000828, 10.000828, 4117, 5154, 37904.3, 25535, 85685, 248963, 949142, 1079051, 0
20.001468, 10.00064, 4315, 5809, 35024.4, 29034, 77300, 109820, 149311, 181237, 0
30.001588, 10.00012, 4143, 5441, 36354.8, 29235, 83778, 122026, 170649, 204934, 0
40.001481, 9.999893, 2177, 4822, 60841.7, 31486, 76299, 922705, 2852799, 2894421, 0
50.001525, 10.000044, 4221, 6303, 36458.5, 30043, 84622, 132070, 208195, 262484, 0
60.001462, 9.999937, 4105, 5923, 36229.7, 30940, 75897, 112053, 145707, 179428, 0
70.001613, 10.000151, 2466, 4736, 48042.8, 28712, 100128, 602156, 1373932, 1394755, 0
80.001636, 10.000023, 4133, 5256, 39360.0, 31494, 68326, 134158, 1422805, 1957884, 0
90.001555, 9.999919, 4535, 6266, 33579.2, 31071, 60008, 84550, 120892, 153814, 0
100.001521, 9.999966, 3089, 4702, 43370.2, 30484, 73073, 485453, 1083545, 1382045, 0
110.001752, 10.000231, 3771, 4702, 41458.4, 30569, 65416, 247588, 1509182, 1648429, 0
120.001601, 9.999849, 4181, 6801, 35282.6, 31377, 66167, 112632, 183933, 247979, 0
130.001677, 10.000076, 3338, 6025, 43596.1, 31674, 72758, 482198, 937304, 1042332, 0
140.00149, 9.999813, 3018, 5031, 49466.3, 29727, 78110, 867700, 1530590, 1874554, 0
150.001544, 10.000054, 4062, 7314, 36257.2, 32376, 69857, 105944, 154872, 179906, 0
160.001569, 10.000025, 3657, 6367, 39649.3, 31774, 81939, 187880, 482296, 779032, 0
170.001492, 9.999923, 3084, 3841, 45776.0, 29734, 79938, 419936, 1512912, 1602008, 0
180.008636, 10.007144, 4210, 6354, 35310.5, 32134, 63650, 105851, 159662, 250974, 0
190.001523, 9.992887, 4038, 6550, 36422.6, 31624, 66765, 118729, 319052, 372879, 0
200.008472, 10.006949, 3379, 4767, 39906.2, 28419, 64250, 416055, 1028162, 1123970, 0
210.001535, 9.993063, 3739, 6033, 40659.9, 30849, 90588, 153398, 801773, 897665, 0
220.001813, 10.000278, 3801, 5818, 38519.6, 31299, 87526, 152498, 344659, 483507, 0
230.001556, 9.999743, 3298, 5065, 43708.7, 30074, 88390, 417018, 800519, 859179, 0
240.001453, 9.999897, 4017, 6202, 36748.8, 31852, 68647, 127965, 363918, 705639, 0
250.001715, 10.000262, 3831, 4741, 36900.3, 30579, 72182, 133823, 590395, 1130657, 0
260.001526, 9.999811, 3626, 5356, 39106.8, 29025, 68395, 376859, 759246, 829045, 0
270.001702, 10.000176, 4114, 6767, 36447.8, 30851, 73113, 122858, 350119, 478167, 0
280.001749, 10.000047, 4010, 5577, 36555.0, 31378, 75657, 133990, 235409, 326585, 0
290.008522, 10.006773, 3380, 5054, 41564.6, 29021, 85154, 428846, 677286, 869129, 0
300.001459, 9.992937, 3965, 5505, 36418.7, 29946, 69407, 125326, 727312, 886474, 0
310.001458, 9.999999, 4236, 7568, 35711.2, 30064, 70044, 128453, 335743, 461023, 0
320.001459, 10.000001, 3427, 5660, 40341.1, 30037, 70705, 229284, 1064242, 1885289, 0
330.001519, 10.00006, 3874, 6022, 37293.1, 29711, 73110, 141992, 1064242, 1468390, 0
340.001608, 10.000089, 4211, 5239, 35314.0, 30901, 67309, 122935, 227102, 359953, 0
350.001493, 9.999885, 3758, 5013, 37926.0, 30312, 70979, 171857, 736962, 1214619, 0
360.001464, 9.999971, 3531, 5372, 42873.0, 29183, 84362, 381018, 1112999, 1294646, 0
370.001565, 10.000101, 4141, 6793, 36390.1, 31532, 71008, 126707, 234953, 343529, 0
380.001465, 9.9999, 3642, 4902, 35897.2, 30480, 67405, 138493, 386703, 685267, 0
390.001615, 10.00015, 3806, 3941, 40864.9, 29012, 80699, 293867, 1045809, 1196625, 0
400.001473, 9.999858, 4236, 6906, 35639.6, 31019, 73273, 113341, 156955, 209243, 0
410.001494, 10.000021, 3961, 7677, 36216.8, 29508, 68376, 177715, 553192, 941036, 0
420.001504, 10.00001, 3855, 6123, 39749.6, 28766, 75650, 310559, 1086029, 1427774, 0
430.001518, 10.000014, 4128, 7482, 36357.6, 31756, 71741, 113434, 260221, 293177, 0
440.001463, 9.999945, 4211, 6828, 34920.3, 29733, 70742, 125832, 256373, 396117, 0
450.001458, 9.999995, 3280, 6289, 40832.6, 29328, 75906, 404597, 823126, 887090, 0
460.001458, 10.0, 4467, 6744, 33598.5, 29652, 64025, 105548, 186116, 340894, 0
470.001879, 10.000421, 4379, 6402, 34149.8, 29611, 60663, 135211, 431091, 531988, 0
480.001458, 9.999579, 3798, 5909, 38310.3, 29443, 69371, 260801, 756890, 919769, 0
490.001855, 10.000397, 4183, 6064, 35121.8, 29761, 75047, 130827, 255290, 315806, 0
500.001493, 9.999638, 3649, 6244, 39563.0, 30867, 76277, 156355, 918749, 1127842, 0
510.001586, 10.000093, 3867, 5161, 36930.3, 28583, 73797, 218732, 586865, 700654, 0
520.001487, 9.999901, 4260, 5949, 34588.5, 29861, 68571, 111856, 257810, 517939, 0
530.001481, 9.999994, 4263, 6083, 34397.4, 29351, 67751, 126990, 319465, 437477, 0
540.001459, 9.999978, 3866, 5018, 37484.4, 29019, 71653, 251356, 560280, 659425, 0
550.001632, 10.000173, 3453, 5548, 36407.7, 30246, 74689, 123079, 732052, 848360, 0
560.001511, 9.999879, 3809, 5733, 42643.7, 30450, 77958, 184438, 1966960, 1999569, 0
570.001459, 9.999948, 3862, 4578, 36831.0, 29934, 65659, 184857, 795920, 914623, 0
580.001574, 10.000115, 4252, 7159, 35589.6, 31395, 68910, 107933, 175993, 255750, 0
590.001494, 9.99992, 4107, 6574, 35999.0, 30611, 66814, 127939, 502980, 569705, 0
600.001607, 10.000113, 3922, 3921, 37180.5, 27587, 66947, 237337, 1259341, 1460858, 0
601.027557, 1.02595, 441, 3921, 37118.5, 27480, 68196, 227734, 1259341, 1460858, 0
