elapsed, window, total, successful, failed
10.001359, 10.001359, 12090, 12090, 0
20.001351, 9.999992, 11561, 11561, 0
30.001219, 9.999868, 11377, 11377, 0
40.001216, 9.999997, 5887, 5887, 0
50.00133, 10.000114, 11094, 11094, 0
60.00125, 9.99992, 11024, 11024, 0
70.001209, 9.999959, 6415, 6415, 0
80.00145, 10.000241, 11808, 11808, 0
90.001269, 9.999819, 11216, 11216, 0
100.001259, 9.99999, 6986, 6986, 0
110.008274, 10.007015, 11688, 11688, 0
120.001375, 9.993101, 10482, 10482, 0
130.001438, 10.000063, 7416, 7416, 0
140.001276, 9.999838, 9236, 9236, 0
150.001373, 10.000097, 10584, 10584, 0
160.001208, 9.999835, 9139, 9139, 0
170.001338, 10.00013, 9673, 9673, 0
180.001228, 9.99989, 10153, 10153, 0
190.001216, 9.999988, 9498, 9498, 0
200.001399, 10.000183, 9129, 9129, 0
210.00124, 9.999841, 10217, 10217, 0
220.001282, 10.000042, 10432, 10432, 0
230.001519, 10.000237, 9137, 9137, 0
240.00126, 9.999741, 11066, 11066, 0
250.00121, 9.99995, 10016, 10016, 0
260.001298, 10.000088, 9906, 9906, 0
270.001356, 10.000058, 10166, 10166, 0
280.001275, 9.999919, 10353, 10353, 0
290.008598, 10.007323, 8273, 8273, 0
300.009127, 10.000529, 11140, 11140, 0
310.000207, 9.99108, 10410, 10410, 0
320.001374, 10.001167, 8451, 8451, 0
330.001209, 9.999835, 10498, 10498, 0
340.001376, 10.000167, 9608, 9608, 0
350.001353, 9.999977, 9352, 9352, 0
360.001275, 9.999922, 10248, 10248, 0
370.008511, 10.007236, 10787, 10787, 0
380.001249, 9.992738, 8834, 8834, 0
390.00152, 10.000271, 10401, 10401, 0
400.001569, 10.000049, 11085, 11085, 0
410.009074, 10.007505, 9387, 9387, 0
420.000375, 9.991301, 10474, 10474, 0
430.001366, 10.000991, 11292, 11292, 0
440.001219, 9.999853, 9526, 9526, 0
450.001222, 10.000003, 9048, 9048, 0
460.001319, 10.000097, 9696, 9696, 0
470.004262, 10.002943, 10343, 10343, 0
480.009468, 10.005206, 10310, 10310, 0
490.00133, 9.991862, 11212, 11212, 0
500.001234, 9.999904, 10028, 10028, 0
510.001333, 10.000099, 10190, 10190, 0
520.001712, 10.000379, 10238, 10238, 0
530.001402, 9.99969, 10854, 10854, 0
540.001236, 9.999834, 10713, 10713, 0
550.001274, 10.000038, 7740, 7740, 0
560.00133, 10.000056, 10032, 10032, 0
570.001224, 9.999894, 9465, 9465, 0
580.001266, 10.000042, 11353, 11353, 0
590.001279, 10.000013, 10168, 10168, 0
600.001344, 10.000065, 9771, 9771, 0
601.024596, 1.023252, 1333, 1333, 0
