elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.00232, 10.00232, 4294, 3967, 22356.2, 20627, 35319, 50826, 273170, 552748, 0
20.001857, 9.999537, 4527, 3677, 21632.6, 20590, 35757, 43431, 92686, 147734, 0
30.001289, 9.999432, 4302, 3290, 22596.7, 21524, 38336, 47082, 59916, 66888, 0
40.002426, 10.001137, 1979, 3235, 44684.0, 21039, 42827, 802743, 1746085, 2720905, 0
50.001258, 9.998832, 4329, 4351, 22184.7, 20962, 37344, 47457, 114523, 134340, 0
60.001252, 9.999994, 4790, 3516, 20350.2, 19404, 34346, 43317, 60109, 70561, 0
70.001503, 10.000251, 1692, 3693, 60685.9, 19331, 44409, 1970862, 2525842, 2548568, 0
80.001239, 9.999736, 4434, 3250, 21793.7, 20903, 37580, 46004, 60696, 86957, 0
90.001423, 10.000184, 4512, 3576, 21486.6, 20164, 37518, 50043, 68042, 110281, 0
100.001252, 9.999829, 2525, 3213, 36335.4, 19039, 40315, 584618, 1834636, 2061644, 0
110.001337, 10.000085, 4064, 3800, 22776.3, 19739, 37051, 55887, 520514, 773520, 0
120.002443, 10.001106, 4598, 3655, 20890.9, 19779, 35883, 43589, 61699, 238886, 0
130.001234, 9.998791, 3078, 3415, 27447.7, 19271, 35940, 358053, 918134, 1784075, 0
140.001742, 10.000508, 3377, 2866, 33683.7, 20073, 38043, 331219, 2177370, 2927999, 0
150.001226, 9.999484, 4511, 4820, 20891.6, 19978, 34957, 43763, 59111, 79177, 0
160.002025, 10.000799, 3980, 3741, 23378.9, 19664, 36647, 144461, 397025, 559316, 0
170.00192, 9.999895, 2645, 3604, 37739.6, 20047, 44045, 582108, 2322135, 2362224, 0
180.001381, 9.999461, 4219, 4908, 21904.6, 20596, 35411, 45625, 77355, 376619, 0
190.001315, 9.999934, 3498, 3643, 25804.8, 21367, 37676, 66408, 716303, 800104, 0
200.001703, 10.000388, 2668, 3432, 32732.1, 20280, 40811, 437489, 1668819, 1710278, 0
210.002101, 10.000398, 4054, 4787, 22933.2, 21557, 35837, 45199, 186118, 373618, 0
220.000808, 9.998707, 3484, 3714, 25036.5, 22261, 37685, 65917, 382737, 527152, 0
230.00124, 10.000432, 2412, 3554, 38400.4, 22337, 44711, 627881, 1446750, 1660090, 0
240.001362, 10.000122, 3594, 3621, 28415.1, 22125, 39171, 72684, 1042492, 1384896, 0
250.001361, 9.999999, 3500, 3678, 25935.3, 22889, 39601, 77028, 364148, 510103, 0
260.002659, 10.001298, 2721, 3541, 32940.2, 23615, 43385, 486814, 729574, 850531, 0
270.001659, 9.999, 3250, 3784, 29010.9, 23958, 40172, 112791, 825718, 900373, 0
280.001532, 9.999873, 2997, 3873, 29902.9, 26376, 43957, 138502, 563440, 589340, 0
290.001871, 10.000339, 2835, 3587, 31258.7, 25175, 43316, 226152, 652078, 838537, 0
300.002324, 10.000453, 3058, 3327, 28993.1, 25223, 41825, 213362, 421496, 433301, 0
310.004266, 10.001942, 2780, 3973, 31353.6, 28075, 47271, 106869, 451500, 537901, 0
320.001323, 9.997057, 2755, 3775, 30924.4, 25876, 42617, 237202, 588184, 649934, 0
330.001331, 10.000008, 2647, 4010, 33297.4, 26417, 44407, 304999, 727934, 784890, 0
340.002938, 10.001607, 2906, 4617, 30339.4, 29144, 45332, 64397, 196758, 220126, 0
350.003653, 10.000715, 2692, 5639, 31886.9, 29168, 47384, 112182, 429370, 474385, 0
360.002367, 9.998714, 2481, 4449, 33967.1, 27823, 47204, 260615, 703903, 754049, 0
370.002231, 9.999864, 2588, 8396, 33561.2, 31938, 51046, 66121, 237136, 289160, 0
380.004865, 10.002634, 2572, 3777, 33144.1, 29021, 47504, 166472, 568174, 672148, 0
390.004092, 9.999227, 2516, 3427, 35763.7, 27779, 46163, 369739, 807550, 861605, 0
400.000361, 9.996269, 2871, 9306, 31224.9, 30113, 45997, 55398, 124180, 287393, 0
410.001799, 10.001438, 2917, 3975, 30479.2, 28219, 44649, 61800, 568473, 635281, 0
420.001873, 10.000074, 2206, 3002, 41103.9, 27681, 48308, 552232, 1368801, 1512455, 0
430.001278, 9.999405, 2620, 8553, 31316.5, 30421, 46036, 55233, 126757, 206048, 0
440.00316, 10.001882, 2559, 6268, 33846.2, 31134, 49986, 123069, 369094, 411209, 0
450.000966, 9.997806, 2464, 3440, 35849.8, 31768, 51290, 168823, 650270, 765363, 0
460.002579, 10.001613, 2674, 6634, 33559.1, 31093, 49560, 94823, 344902, 479208, 0
470.001856, 9.999277, 2621, 5784, 33149.8, 30851, 48645, 102787, 300259, 439279, 0
480.002929, 10.001073, 2427, 4343, 34884.6, 30509, 48340, 161883, 782417, 825167, 0
490.001943, 9.999014, 2216, 10578, 37794.9, 36421, 54932, 74065, 200085, 241959, 0
500.004324, 10.002381, 2072, 4049, 39551.6, 35353, 55073, 124597, 774631, 903155, 0
510.002122, 9.997798, 2242, 4692, 38533.3, 33545, 53704, 202259, 774631, 903155, 0
520.002375, 10.000253, 2164, 8076, 38161.7, 36529, 55608, 69293, 298317, 318504, 0
530.002768, 10.000393, 2004, 7794, 40986.8, 37870, 60842, 101691, 361410, 394249, 0
540.001316, 9.998548, 2321, 4721, 38192.0, 35487, 55351, 135320, 401914, 642516, 0
550.002368, 10.001052, 3035, 5426, 29898.5, 26704, 52945, 73024, 348642, 394428, 0
560.001858, 9.99949, 3095, 4079, 28759.2, 24638, 48035, 64318, 631203, 718437, 0
570.001851, 9.999993, 3082, 5575, 29880.8, 24803, 51046, 165625, 480124, 713589, 0
580.002179, 10.000328, 3078, 4832, 30974.5, 25305, 52020, 174221, 585728, 677374, 0
590.002349, 10.00017, 3079, 4535, 28002.2, 24744, 49165, 66922, 384767, 517278, 0
600.002057, 9.999708, 2981, 5075, 29425.6, 25296, 52791, 125935, 316061, 357569, 0
601.31566, 1.313603, 464, 5075, 28245.9, 24296, 50902, 118673, 316061, 357569, 0
