elapsed, window, total, successful, failed
10.00232, 10.00232, 13129, 13129, 0
20.001857, 9.999537, 13694, 13694, 0
30.001289, 9.999432, 12682, 12682, 0
40.002426, 10.001137, 6073, 6073, 0
50.001258, 9.998832, 13041, 13041, 0
60.001252, 9.999994, 14240, 14240, 0
70.001503, 10.000251, 5058, 5058, 0
80.001239, 9.999736, 13257, 13257, 0
90.001423, 10.000184, 13441, 13441, 0
100.001252, 9.999829, 7634, 7634, 0
110.001337, 10.000085, 12141, 12141, 0
120.002443, 10.001106, 13728, 13728, 0
130.001234, 9.998791, 9197, 9197, 0
140.001742, 10.000508, 10060, 10060, 0
150.001226, 9.999484, 13369, 13369, 0
160.002025, 10.000799, 11762, 11762, 0
170.00192, 9.999895, 7796, 7796, 0
180.001381, 9.999461, 12808, 12808, 0
190.001315, 9.999934, 10436, 10436, 0
200.001703, 10.000388, 8110, 8110, 0
210.002101, 10.000398, 11972, 11972, 0
220.000808, 9.998707, 10561, 10561, 0
230.00124, 10.000432, 7074, 7074, 0
240.001362, 10.000122, 10574, 10574, 0
250.001361, 9.999999, 10390, 10390, 0
260.002659, 10.001298, 8318, 8318, 0
270.001659, 9.999, 9421, 9421, 0
280.001532, 9.999873, 8790, 8790, 0
290.001871, 10.000339, 8345, 8345, 0
300.002324, 10.000453, 9283, 9283, 0
310.004266, 10.001942, 8466, 8466, 0
320.001323, 9.997057, 8303, 8303, 0
330.001331, 10.000008, 7979, 7979, 0
340.002938, 10.001607, 8472, 8472, 0
350.003653, 10.000715, 8099, 8099, 0
360.002367, 9.998714, 7536, 7536, 0
370.002231, 9.999864, 7740, 7740, 0
380.004865, 10.002634, 7972, 7972, 0
390.004092, 9.999227, 7474, 7474, 0
400.000361, 9.996269, 8356, 8356, 0
410.001799, 10.001438, 8498, 8498, 0
420.001873, 10.000074, 6498, 6498, 0
430.001278, 9.999405, 8176, 8176, 0
440.00316, 10.001882, 7662, 7662, 0
450.000966, 9.997806, 7256, 7256, 0
460.002579, 10.001613, 7864, 7864, 0
470.001856, 9.999277, 7834, 7834, 0
480.002929, 10.001073, 7363, 7363, 0
490.001943, 9.999014, 6764, 6764, 0
500.004324, 10.002381, 6316, 6316, 0
510.002122, 9.997798, 6882, 6882, 0
520.002375, 10.000253, 6712, 6712, 0
530.002768, 10.000393, 6236, 6236, 0
540.001316, 9.998548, 6729, 6729, 0
550.002368, 10.001052, 9020, 9020, 0
560.001858, 9.99949, 9244, 9244, 0
570.001851, 9.999993, 9140, 9140, 0
580.002179, 10.000328, 9142, 9142, 0
590.002349, 10.00017, 9388, 9388, 0
600.002057, 9.999708, 9196, 9196, 0
601.31566, 1.313603, 1401, 1401, 0
