elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.00119, 10.00119, 4021, 1852, 11965.9, 10587, 22072, 30798, 109428, 131102, 0
20.002315, 10.001125, 4111, 1760, 12422.3, 11267, 22892, 29696, 37239, 48870, 0
30.007419, 10.005104, 3625, 2089, 14277.3, 11693, 23082, 32925, 767496, 864300, 0
40.001265, 9.993846, 2237, 1225, 31983.3, 11996, 27553, 798616, 1727828, 2075819, 0
50.001277, 10.000012, 3846, 2119, 14026.6, 12916, 25572, 34081, 59377, 124700, 0
60.00127, 9.999993, 3593, 2405, 14161.3, 13137, 25848, 33103, 41475, 48047, 0
70.001512, 10.000242, 1735, 1499, 47060.4, 12514, 30688, 1188929, 2522177, 2541809, 0
80.001131, 9.999619, 3704, 2336, 15141.2, 14054, 26689, 34695, 46960, 53893, 0
90.001232, 10.000101, 3432, 1825, 14961.2, 14020, 26780, 36489, 49392, 63074, 0
100.00114, 9.999908, 2148, 1825, 31447.8, 13539, 31259, 603625, 1994159, 2085038, 0
110.001141, 10.000001, 3245, 1582, 17877.3, 14391, 28316, 56004, 532367, 756276, 0
120.001083, 9.999942, 3460, 2635, 15164.4, 14378, 26335, 33688, 41515, 49069, 0
130.001388, 10.000305, 2204, 1593, 33642.4, 14052, 30337, 673626, 2153847, 2796611, 0
140.001783, 10.000395, 3313, 2263, 20368.8, 14118, 27909, 195054, 1027590, 1248294, 0
150.001129, 9.999346, 3688, 2407, 15613.5, 14488, 26401, 34338, 73496, 517685, 0
160.008084, 10.006955, 2974, 2571, 19636.0, 14852, 28680, 194432, 495677, 1131443, 0
170.00137, 9.993286, 2696, 1683, 24911.2, 15183, 30602, 286069, 2236207, 2343273, 0
180.001178, 9.999808, 3471, 2808, 15942.5, 15016, 27570, 36299, 57735, 89357, 0
190.0011, 9.999922, 3162, 2454, 20292.0, 15874, 30024, 49383, 636403, 753466, 0
200.002608, 10.001508, 2464, 1965, 26184.2, 15011, 31738, 462094, 1341964, 1647215, 0
210.001461, 9.998853, 3595, 2847, 17019.5, 15960, 28733, 36478, 115555, 250679, 0
220.001351, 9.99989, 3341, 2546, 17753.9, 15543, 28582, 42041, 341859, 411930, 0
230.001151, 9.9998, 2161, 1966, 31928.0, 14652, 31534, 694530, 1414441, 1484017, 0
240.001032, 9.999881, 3451, 2945, 17644.5, 16267, 29851, 41933, 268560, 310799, 0
250.003266, 10.002234, 3397, 2349, 17613.8, 16256, 29172, 37957, 274319, 443501, 0
260.001081, 9.997815, 2605, 2225, 25860.6, 15959, 33176, 490118, 811086, 898860, 0
270.001048, 9.999967, 3300, 3236, 18041.3, 15649, 29659, 44186, 342336, 411949, 0
280.001966, 10.000918, 3148, 2576, 20015.4, 16795, 31836, 72058, 457356, 562937, 0
290.007403, 10.005437, 2786, 2157, 21794.4, 15740, 31874, 244932, 721756, 748393, 0
300.001909, 9.994506, 3456, 2704, 18292.2, 15778, 30589, 51338, 328821, 456479, 0
310.002005, 10.000096, 3368, 2377, 17808.3, 16007, 29548, 42749, 267606, 535556, 0
320.002295, 10.00029, 2790, 2300, 23503.4, 15867, 32242, 293970, 720879, 781657, 0
330.00157, 9.999275, 3053, 2727, 21293.8, 17468, 33592, 74156, 566692, 781657, 0
340.008021, 10.006451, 3329, 3102, 19155.7, 16686, 33005, 46737, 260056, 299729, 0
350.001508, 9.993487, 3047, 1707, 21519.1, 16603, 35923, 167226, 526854, 576335, 0
360.001266, 9.999758, 3177, 2146, 21408.8, 15809, 34625, 162203, 576335, 769591, 0
370.001275, 10.000009, 3572, 2911, 17655.8, 15547, 31818, 42402, 199472, 226367, 0
380.002366, 10.001091, 3027, 2101, 20529.4, 16131, 33426, 175036, 419013, 581906, 0
390.001616, 9.99925, 3032, 2270, 21708.4, 15179, 31299, 224351, 757748, 825200, 0
400.00166, 10.000044, 3565, 3379, 17640.5, 15699, 32626, 42593, 128451, 206690, 0
410.00194, 10.00028, 3118, 2720, 19667.8, 15901, 31816, 50787, 627734, 718782, 0
420.001845, 9.999905, 2537, 2355, 31221.3, 15585, 34420, 650269, 1451444, 1580158, 0
430.001285, 9.99944, 3116, 3020, 19799.7, 18157, 36334, 44673, 137433, 165756, 0
440.001311, 10.000026, 3171, 3086, 19350.8, 16578, 34398, 49696, 249143, 507618, 0
450.0014, 10.000089, 2862, 3100, 21926.5, 17265, 37757, 146929, 554257, 725863, 0
460.001272, 9.999872, 3347, 3061, 18875.6, 16014, 34888, 49007, 271702, 384565, 0
470.00743, 10.006158, 3529, 3438, 17372.9, 15288, 30693, 42701, 203615, 305373, 0
480.00158, 9.99415, 3071, 2515, 20024.6, 15396, 34007, 90296, 656792, 810032, 0
490.002275, 10.000695, 3405, 3307, 18701.0, 16156, 35089, 49882, 243311, 278332, 0
500.001202, 9.998927, 2757, 2362, 24361.1, 17090, 39066, 157796, 962043, 1025517, 0
510.00215, 10.000948, 3184, 3064, 20066.6, 16374, 35290, 56800, 516511, 681636, 0
520.003666, 10.001516, 3260, 3047, 19542.6, 16770, 37446, 50126, 228271, 281097, 0
530.003342, 9.999676, 3253, 2909, 19576.4, 16220, 34230, 52697, 340148, 368314, 0
540.002579, 9.999237, 3012, 3146, 21732.4, 17199, 38690, 144905, 353211, 443890, 0
550.00109, 9.998511, 3283, 3076, 19100.4, 16434, 35995, 52923, 231695, 323268, 0
560.003827, 10.002737, 3158, 2270, 19833.3, 16553, 35536, 53637, 564621, 654134, 0
570.001123, 9.997296, 3442, 3558, 19322.6, 15967, 31043, 60822, 502526, 551617, 0
580.001743, 10.00062, 3039, 2947, 20853.3, 16836, 36049, 62285, 506033, 658058, 0
590.00615, 10.004407, 3158, 3631, 20130.7, 17043, 36720, 58850, 338571, 498459, 0
600.001744, 9.995594, 3147, 4412, 20621.8, 17559, 38843, 61494, 297643, 345721, 0
601.032064, 1.03032, 339, 2961, 21164.6, 17706, 38451, 75269, 301178, 345721, 0
