elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.00119, 10.00119, 4008, 6896, 38637.2, 37365, 58079, 78571, 164465, 183239, 0
20.002315, 10.001125, 3956, 8628, 38321.6, 37598, 58371, 68282, 80919, 90095, 0
30.007419, 10.005104, 3641, 7304, 39602.5, 37384, 58451, 71406, 775563, 997071, 0
40.001265, 9.993846, 2179, 5333, 62407.7, 36175, 65696, 890464, 2393448, 2871433, 0
50.001277, 10.000012, 3811, 9632, 39756.5, 38752, 61198, 73751, 96142, 160561, 0
60.00127, 9.999993, 3695, 8052, 38927.3, 37985, 59141, 68874, 81421, 106647, 0
70.001512, 10.000242, 1766, 5776, 72238.1, 36187, 72472, 1248394, 2581418, 2640424, 0
80.001131, 9.999619, 3568, 8851, 41712.8, 40824, 63848, 77325, 91262, 104943, 0
90.001232, 10.000101, 3537, 5463, 40945.7, 39523, 64213, 78502, 106763, 451593, 0
100.00114, 9.999908, 2114, 5755, 62888.2, 38290, 77478, 827977, 2081011, 2159874, 0
110.001141, 10.000001, 3425, 6435, 44729.5, 40637, 64882, 146040, 629691, 819071, 0
120.001083, 9.999942, 3627, 6379, 40564.8, 39610, 61463, 73832, 86628, 95516, 0
130.001388, 10.000305, 2267, 5645, 65169.2, 39245, 68595, 776464, 2839879, 2958661, 0
140.001783, 10.000395, 3249, 5327, 46588.6, 39188, 63785, 279657, 945579, 2958661, 0
150.001129, 9.999346, 3565, 5210, 40609.0, 39421, 60246, 71321, 100740, 402870, 0
160.008084, 10.006955, 2963, 5210, 45237.8, 38411, 65841, 285799, 570700, 1125053, 0
170.00137, 9.993286, 2679, 5813, 59010.1, 39340, 69390, 665281, 2412591, 2445627, 0
180.001178, 9.999808, 3557, 8716, 40727.0, 39499, 61948, 76208, 106418, 126838, 0
190.0011, 9.999922, 3068, 7692, 47051.3, 41768, 66039, 129530, 755821, 834425, 0
200.002608, 10.001508, 2448, 5499, 53005.4, 39235, 68231, 612779, 1640959, 1748793, 0
210.001461, 9.998853, 3476, 9344, 43039.2, 41117, 63438, 82881, 318249, 349333, 0
220.001351, 9.99989, 3442, 9344, 44369.0, 40569, 64146, 157532, 452795, 583181, 0
230.001151, 9.9998, 2162, 6604, 61516.0, 38216, 72115, 959402, 1481908, 1712771, 0
240.001032, 9.999881, 3437, 11058, 43227.4, 41881, 64716, 79955, 307514, 410404, 0
250.003266, 10.002234, 3380, 7756, 42619.1, 40534, 62755, 80711, 472331, 561763, 0
260.001081, 9.997815, 2637, 6441, 54294.5, 39981, 68949, 659255, 913250, 954546, 0
270.001048, 9.999967, 3415, 7415, 43276.3, 40715, 63727, 89979, 416194, 570177, 0
280.001966, 10.000918, 3264, 7543, 45067.5, 41598, 65594, 108468, 527660, 629228, 0
290.007403, 10.005437, 2845, 7649, 50418.2, 40728, 68308, 440789, 798234, 910821, 0
300.001909, 9.994506, 3358, 8475, 43883.1, 40646, 64940, 114838, 454568, 484881, 0
310.002005, 10.000096, 3386, 6918, 43207.7, 40721, 63884, 100632, 463828, 516198, 0
320.002295, 10.00029, 2886, 5973, 47281.0, 40029, 69492, 342661, 731293, 817342, 0
330.00157, 9.999275, 3065, 5478, 49303.3, 42593, 70251, 321613, 720523, 817342, 0
340.008021, 10.006451, 3228, 10134, 45256.5, 42546, 71730, 95134, 291529, 403534, 0
350.001508, 9.993487, 2980, 7196, 47983.3, 41767, 75545, 245931, 538994, 661944, 0
360.001266, 9.999758, 3145, 6396, 46811.0, 39621, 73040, 287664, 750699, 776816, 0
370.001275, 10.000009, 3553, 9299, 41345.3, 39037, 66786, 83411, 219455, 286762, 0
380.002366, 10.001091, 3102, 8084, 47019.9, 40293, 72769, 259901, 668933, 682488, 0
390.001616, 9.99925, 3106, 6982, 46491.3, 38981, 70169, 285454, 838041, 1157091, 0
400.00166, 10.000044, 3494, 9255, 42516.8, 39598, 70377, 87116, 188812, 326375, 0
